time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2016_12,22.79,43.64,24.48,31.98,25.1,27.72,35.370000000000005,25.95,62.830000000000005,21.58,25.369999999999997,55.66,19.3,36.629999999999995,54.519999999999996,18.58,17.74,35.64,83.01,36.980000000000004,39.83,18.59,37.61,23.76,49.49,,,,,,,,,,,,,,,,,,,,,,,,,,,34.97,69.05
2017_1,43.5,59.06999999999999,25.700000000000003,36.82,29.39,41.0,33.22,21.36,23.0,44.95,45.3,45.989999999999995,45.419999999999995,40.64,24.44,56.480000000000004,41.349999999999994,59.0,31.14,51.27,82.07,40.879999999999995,52.04,11.149999999999999,54.230000000000004,65.52,11.68,45.480000000000004,49.5,41.8,40.93,22.11,30.12,49.980000000000004,20.189999999999998,50.510000000000005,39.58,42.62,29.490000000000002,19.37,34.68,53.58,17.560000000000002,47.64,33.49,90.56,39.56,47.16,27.4,37.07,38.41,40.52,37.69
2017_2,63.16,112.59,53.33,109.78999999999999,40.69,63.65,45.45,54.540000000000006,92.29,128.84,46.81,64.99,51.99,78.32000000000001,44.29,122.63,121.74,72.41,29.740000000000002,172.39,77.82,116.17999999999999,62.27,79.5,80.44999999999999,53.39,30.490000000000002,108.20000000000002,53.75000000000001,67.74000000000001,78.58,143.82999999999998,101.85000000000001,65.91,97.01,89.24,91.28,72.25,69.48,46.7,78.28999999999999,35.86,32.92,98.86,37.41,56.83,90.06,113.85,66.52,121.25,68.94,77.59,43.94
2017_3,146.45999999999998,77.58,97.53999999999999,83.08,105.88,212.9,134.51999999999998,113.94000000000001,54.22,110.57,133.01,122.27000000000001,67.07,117.44,207.52999999999997,127.19,102.67999999999999,43.239999999999995,87.4,91.02,131.24,168.1,79.11999999999999,89.69,65.08,77.86999999999999,88.74000000000001,94.56,127.78,67.64,99.30000000000001,93.63,135.52,66.74,162.8,66.47,155.10000000000002,144.39,70.53,130.98000000000002,128.55,71.97,148.61,105.03,80.17,175.18,108.77,137.67000000000002,128.51,97.47,55.16,109.56,87.19
2017_4,209.94,179.4,136.74,140.11,261.29,125.60999999999999,141.35999999999999,100.25,159.42000000000002,193.37,125.91,149.51,126.49,138.04,195.21,155.26,129.46,190.75,59.269999999999996,169.14999999999998,187.04999999999998,175.63,138.78,180.5,256.14000000000004,115.00999999999999,118.93,156.52,147.68,123.94,143.76,157.93,129.36,215.1,180.6,155.02,167.23000000000002,157.07,187.74,165.92000000000002,199.07999999999998,91.71000000000001,111.0,96.59,172.5,182.48,64.75,153.60999999999999,138.39,182.76999999999998,176.32,155.2,89.02
2017_5,165.69,287.15,233.69,338.54999999999995,223.28,291.14,210.34000000000003,286.65999999999997,174.08,162.26999999999998,209.39,110.66,117.07000000000001,147.28,224.48,123.69,261.02,380.35999999999996,150.15,132.56,123.57,120.13,299.08,188.37,220.34,198.98999999999998,176.35000000000002,142.29,159.51999999999998,262.48,303.06,193.12,99.9,384.7,158.43,271.74,265.31,110.17000000000002,253.52,148.01999999999998,343.73,239.47999999999996,467.71,336.86,128.23,160.76,257.65,236.27,294.55,122.30000000000001,320.97,219.94,103.7
2017_6,401.95000000000005,551.4100000000001,341.56,481.65,821.11,419.72,546.7,482.4,508.95000000000005,508.71000000000004,438.78,451.53999999999996,204.84,344.63,424.96,213.86,335.78,274.0,417.36,408.38,300.04,424.18,526.0799999999999,543.5999999999999,375.11,497.99,548.88,618.55,714.5300000000001,770.3000000000001,390.71000000000004,278.75,672.9100000000001,220.0,334.22,657.35,378.97,711.0799999999999,541.05,530.63,407.74,502.0,384.5,562.05,425.96,679.35,386.11,468.19,179.18,310.31,489.79999999999995,458.96,526.06
2017_7,992.5,1134.86,834.96,844.37,658.1700000000001,790.72,678.9,824.78,528.8399999999999,931.62,863.8299999999999,721.6700000000001,1104.32,625.14,694.1800000000001,655.52,464.30999999999995,1014.2800000000001,659.35,552.32,776.06,709.64,835.69,897.06,630.17,736.94,1218.05,569.46,640.01,739.02,737.89,411.81,815.6300000000001,529.07,1386.3899999999999,678.49,612.73,860.18,533.92,755.5899999999999,800.31,447.6,742.58,463.14,679.21,699.92,594.84,904.1800000000001,472.02,998.26,572.9000000000001,745.5799999999999,691.61
2017_8,609.9300000000001,427.03999999999996,618.8,492.79,533.63,682.5799999999999,427.04999999999995,541.0799999999999,191.62,485.0,555.26,413.66,641.36,463.31000000000006,325.21,666.95,392.24,761.84,372.29999999999995,878.89,516.45,526.3199999999999,583.2,301.21,544.0699999999999,533.21,870.31,300.52000000000004,628.8,578.25,733.11,652.9399999999999,143.8,602.54,515.03,580.86,260.28999999999996,335.31,968.6500000000001,558.71,397.65,399.88,259.88,463.23,293.53000000000003,564.96,482.46000000000004,293.61,506.16999999999996,726.57,587.44,513.51,285.53
2017_9,141.79,131.95,234.61,97.05,95.37,165.13,52.82,278.52,135.14000000000001,143.79,239.95,150.82,65.03999999999999,111.27,174.37,93.26,173.76,251.38,107.83999999999999,204.81,150.55,48.47,267.76,87.08,128.03,226.99,147.56,148.39000000000001,121.89,181.07,87.95,180.53,122.44999999999999,224.71,352.7,125.94,107.94,97.69,97.10000000000001,162.05,83.16,130.3,113.58,100.61000000000001,140.5,201.13,71.45,210.57999999999998,366.3,77.6,178.01,152.74,69.18
2017_10,155.86,55.699999999999996,73.16,91.14,140.89000000000001,91.11,94.05,110.26,123.38000000000001,172.02,116.86,88.27000000000001,115.28999999999999,121.96000000000001,131.44,116.88,94.01,132.01000000000002,197.87,65.2,34.29,120.41000000000001,162.76,92.91,54.8,122.38,52.96,111.08,70.21,88.14,101.03,144.93,109.19,123.85000000000001,77.53999999999999,123.59,106.75,131.07,111.02000000000001,111.41000000000001,141.43,79.44000000000001,83.52000000000001,153.1,101.38,70.69,112.38,87.58000000000001,160.42,100.49,117.4,108.72,57.94
2017_11,91.46000000000001,64.96000000000001,51.39,58.06999999999999,29.75,59.03,58.04,33.120000000000005,27.19,92.01,74.72,42.11,116.51,45.47,47.73,54.57,39.32,69.42999999999999,65.92999999999999,24.67,38.27,26.46,37.3,30.71,57.55000000000001,38.36,92.38,26.02,44.470000000000006,49.72,74.86999999999999,43.38,44.14,44.349999999999994,41.34,47.44,40.59,20.740000000000002,32.87,58.010000000000005,55.69,44.5,41.730000000000004,40.16,85.97999999999999,42.41,40.56,60.510000000000005,105.0,63.72,40.53,52.07,44.09
2017_12,29.009999999999998,19.99,40.21000000000001,12.49,21.05,8.11,15.66,19.03,18.9,19.060000000000002,30.33,55.779999999999994,35.7,53.269999999999996,30.93,14.98,12.9,19.22,27.09,19.76,25.6,29.33,16.060000000000002,46.46,31.8,33.81,21.019999999999996,15.91,16.669999999999998,22.21,25.72,48.05,31.720000000000002,21.41,14.43,48.97,19.380000000000003,28.119999999999997,12.34,23.56,89.15,36.31,18.72,12.82,38.79,47.38,48.27,23.03,20.6,53.82,18.990000000000002,28.310000000000002,24.78
2018_1,36.75,53.61,26.759999999999998,24.07,20.41,32.35,21.05,11.0,21.21,51.29,37.199999999999996,43.76,33.4,27.17,38.29,49.35,35.03,21.84,37.95,39.28,40.46,77.3,45.32,23.59,12.43,48.900000000000006,35.69,17.39,63.18,25.669999999999998,42.68,41.92,20.62,36.739999999999995,41.57,32.94,30.9,36.489999999999995,7.469999999999999,10.57,29.29,32.92,38.53,50.64,40.79,38.72,45.959999999999994,31.22,60.66,23.12,18.18,34.57,34.980000000000004
2018_2,36.64,48.75,84.09,68.83000000000001,52.550000000000004,74.88,89.86,48.85,121.63,42.36,83.03,47.62,76.24000000000001,63.07000000000001,87.91,87.25999999999999,48.68,105.78,74.85000000000001,81.50999999999999,84.92,83.4,62.980000000000004,57.010000000000005,61.36,83.74,81.94,51.63,79.27000000000001,68.36,43.82,88.92,106.5,39.93,99.85,67.25,77.18,52.54,67.46000000000001,114.06,68.98,67.75999999999999,140.77,58.07,85.53999999999999,141.87,106.38,56.84,138.34,74.41999999999999,77.34,76.75,97.29
2018_3,180.17,145.59,209.49,175.11,165.49,141.82999999999998,157.71,195.55,170.12,139.12,143.64999999999998,147.63,96.25999999999999,114.09,166.49,146.25,110.31,155.13,139.10999999999999,152.22,123.22,180.74,95.16,208.55,218.07,197.09,97.5,89.08,127.48,193.63,85.69999999999999,138.06,151.83,131.91,211.69,134.98000000000002,166.11,186.68,151.1,152.29,151.87,159.26999999999998,109.81,120.57,157.07,118.03,196.29000000000002,143.99,191.18,200.51999999999998,127.66,152.32999999999998,203.23000000000002
2018_4,98.16999999999999,198.6,120.61,216.94,211.64000000000001,287.24,135.55,245.57,130.33,151.73000000000002,97.38,174.29,136.12,183.95,145.67,270.59000000000003,133.95000000000002,216.12,146.59,188.13,220.89000000000001,148.3,218.5,223.99,156.37,238.57999999999998,204.5,223.87,175.14,204.82999999999998,108.86,269.44,129.93,180.87,154.0,119.3,241.04,216.6,168.62,303.37,160.78,198.43,135.51,108.86000000000001,113.0,199.37,268.41,176.22,127.55000000000001,163.7,150.07,180.36,319.48
2018_5,235.51,248.45,290.2,382.79999999999995,451.34000000000003,169.5,167.26,199.53,285.31,149.8,189.35,122.61,323.59000000000003,379.58,194.07999999999998,272.52,704.73,144.36,257.15,278.74,245.35000000000002,184.84,136.29,657.57,120.48000000000002,343.52,219.45,182.35,219.76999999999998,264.34000000000003,338.24,175.24,179.47,272.19,389.36,241.13000000000002,459.12,348.03,321.28,263.11,374.37,461.78999999999996,322.34,211.8,179.14000000000001,198.22,194.05,242.77000000000004,346.28999999999996,310.81,411.11,279.63,278.0
2018_6,480.46999999999997,345.73,499.70000000000005,363.17999999999995,540.23,514.0,314.56,642.12,351.24,475.11,289.06,208.0,168.44,273.74,415.84,522.77,445.2,368.2,240.57,432.92999999999995,179.33,145.32999999999998,371.44,364.16,412.4200000000001,377.89,217.38,171.6,339.34,273.23,294.71999999999997,581.6,515.13,586.02,382.0,475.97999999999996,280.90999999999997,298.72,289.92,267.42,368.07,192.62,360.92,190.70999999999998,438.53,479.12,465.76,837.36,572.12,356.3,253.88,377.04999999999995,301.06
2018_7,696.26,563.35,423.58,609.1099999999999,532.32,412.01,486.64,367.21000000000004,592.38,438.33,1137.64,885.41,585.0799999999999,491.62,596.74,551.15,893.9,667.5799999999999,490.24,231.92000000000002,417.91999999999996,701.76,510.62,761.54,328.91,563.77,456.21,306.03,386.90000000000003,274.58000000000004,454.84000000000003,1009.73,908.6200000000001,576.12,451.14,295.02,314.04,365.69,494.85,521.73,494.71000000000004,613.64,504.28999999999996,360.36,678.62,269.15,503.52,766.3699999999999,521.71,345.77,508.92,535.71,531.74
2018_8,208.79000000000002,388.09000000000003,300.35,167.31,421.64,519.7,647.9200000000001,220.73,455.16999999999996,267.40999999999997,125.59,718.4000000000001,228.39,184.94,348.95000000000005,187.4,201.85000000000002,173.83999999999997,578.97,546.27,396.90999999999997,547.04,436.19,245.69,368.39,611.2,236.48,246.25,275.90999999999997,265.46,221.21999999999997,469.68,187.91000000000003,271.66999999999996,304.55,618.64,274.34,709.5699999999999,271.11,566.8399999999999,382.63,273.54,218.35999999999999,413.36,418.39,286.45,507.63,502.81999999999994,146.89000000000001,262.59000000000003,628.4300000000001,361.93,498.71000000000004
2018_9,155.52999999999997,218.14000000000001,393.6,136.35,370.92,160.88,302.11999999999995,377.68,202.45000000000002,179.94,192.69,276.35,276.46000000000004,221.15,198.38,133.85000000000002,226.78,279.24,422.44,377.42,244.5,202.19,120.77,157.94,231.34,130.76,320.26,244.38,248.13,130.51999999999998,151.83,324.65999999999997,207.67000000000002,215.6,254.21999999999997,338.81,129.96,264.41,358.40999999999997,373.93999999999994,259.96999999999997,216.04000000000002,185.4,409.39000000000004,125.9,411.60999999999996,200.1,183.95,136.57,207.47,173.53,240.42000000000002,295.06
2018_10,136.1,61.14,112.46000000000001,111.95000000000002,80.05000000000001,76.14,170.66,166.37,119.71000000000001,94.89,153.76,88.75,127.51,140.37,162.68,163.41000000000003,64.92,52.78,136.17,96.16,231.58999999999997,94.34,146.2,176.70999999999998,170.56,107.19999999999999,113.94,39.54,126.1,80.53,43.99,157.21,90.67,102.42,171.94,138.19,69.49,124.44,64.48,130.31,91.50999999999999,94.27000000000001,280.85,190.36,109.01,130.57,60.14,138.89000000000001,81.07,183.04999999999998,118.36,121.07,174.84
